시도명,시군구명,시군구코드,도로명,시점,종점,허용면,허용구역도로길이,평일주정차허용시간,토요일주정차허용시간,공휴일주정차허용시간,명절허용여부,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,강남구,11680,언주로,"기아자동차 강남지점(언주로804,도산공원R)","한양주유소(압구정로302,성수대교남단R)",편측,0.85,,,05:00~18:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,"호산병원(언주로871,성수대교남단R)","메르세데스벤츠 강남전시장(도산대로239,도산공원R)",편측,0.85,,,05:00~18:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,봉은사로,강남구 봉은사로(오천주유소),봉은사사회체육문화센타앞(봉은사로),편측,0.18,,05:00~18:00,05:00~18:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,"류케이웨이브커피(도산대로331,학동R)","코오롱모터스(도산대로301,도산공원R)",편측,0.43,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,"한우리 본점(도산대로304,도산공원R)","삼성전자서비스 강남센터(도산대로336,학동R)",편측,0.43,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,삼성로,청담동성당(삼성로720),닥터홍치과(삼성로754),편측,0.28,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,"자미온(언주로565,경복아파트R)",KT 강남지사(언주로517),편측,0.4,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,미자인성형외과(도산대로423),맥도날드 청담DT점(도산대로407),편측,0.15,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,학동로,학동역10번 출구,"구연빌딩(학동로201,학동역R)",편측,0.15,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,학동로,"거봉빌딩(학동로306,서울세관R)","강남파라곤오피스텔(학동로338,강남구청역R)",편측,0.4,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,미니스톱 논현힐탑점(논현로639),한성한방병원(논현로609),편측,0.25,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,테헤란로,Sh수협은행 삼성동지점(테헤란로435),"KEB하나은행 선릉역지점(테헤란로401,선릉역R)",편측,0.65,,06:00~22:00,06:00~22:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,"버버리코리아 서울플래그십(도산대로459,청담R)",NH농협은행 압구정동지점(도산대로447),편측,0.19,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,탐앤탐스블랙 청담점(도산대로443),다채 청담점(도산대로431),편측,0.13,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,더청담웨딩홀(도산대로434),차움의원(도산대로442),편측,0.13,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,IBK기업은행 청담동지점(도산대로446),순수 이야기점(도산대로450),편측,0.05,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,디엔디모드컴퍼니(도산대로452),"스타벅스 청담사거리점(도산대로458,청담R)",편측,0.12,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,"메르세데스벤츠 강남전시장(도산대로239,도산공원R)","우신설농탕(도산대로113,신사역R)",편측,1.2,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,"올리브영 신사점(도산대로116,신사역R)","남양유업(도산대로240,도산공원R)",편측,1.2,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,도산대로,카페베네 청담영동점(도산대로539),KEB하나은행 청담사거리지점(도산대로507),편측,0.37,,06:00~20:00,06:00~20:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,"강남빌딩(언주로647,서울세관R)","논현레지던스(언주로605,경복아파트R)",편측,0.7,,07:00~17:00,07:00~17:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,Sh수협은행 압구정역지점(논현로839),정지행한의원(논현로807),편측,0.3,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,휘슬러(논현로804),파고다외국어학원압구정점,편측,0.35,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,선도빌딩(언주로806),KEB하나은행 압구정중앙지점(언주로872),편측,0.85,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,SC제일은행 압구정PB지점(언주로869),테일러메이드 압구정직영점(언주로805),편측,0.85,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,봉은사로,광동한방병원(봉은사로612),세븐일레븐 삼성대웅점(봉은사로638),편측,0.3,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,삼성로,"삼성로주유소(삼성로563,삼성중앙역R)",삼성주유소(삼성로521),편측,0.41,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,삼성로,"우리은행 삼성로지점(삼성로508,포스코R)","빌딩엠(삼성로566,삼성중앙역R)",편측,0.51,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,"역삼아르누보씨티오피스텔(언주로506,르네상스R)",성우빌딩(언주로556),편측,0.58,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,삼성로,"폴바셋 청담역점(삼성로710,청담공원R)","청담엔비의원(삼성로772,청담R)",편측,0.5,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,가나돈까스의집(언주로608),논현동부센트레빌아파트(언주로116길6),편측,0.1,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,언주로,"홈수끼 학동점(언주로708,서울세관R)","성주그룹빌딩(언주로734,도산공원R)",편측,0.5,12:00~14:00,12:00~14:00,12:00~14:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,학동로,"삼안빌딩(영동대로648,경기고R)",홍실아파트(영동대로128길15),편측,0.25,20:00~익일07:00,20:00~익일07:00,20:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,학동로,삼익아파트(영동대로609),"KEB하나은행 청담동지점(영동대로702,경기고R)",편측,0.25,20:00~익일07:00,20:00~익일07:00,20:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,학동로,할리스커피 청담점(학동로517),파리바게뜨 청담점(학동로513),편측,0.25,21:00~익일07:00,21:00~익일07:00,21:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,신현대@ 116동 앞(논현로189길),동호대교밑R,편측,0.12,21:00~익일07:00,21:00~익일07:00,21:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,-,압구정한양@ 35동 앞,압구정한양@ 3동 앞,양측,0.6,21:00~익일07:00,21:00~익일07:00,21:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,압구정현대@ 202동 앞(논현로190길),압구정현대@ 52동 앞,양측,1.2,21:00~익일07:00,21:00~익일07:00,21:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,논현로,한강공원신사나들목 진출입로2(논현로189길),미성2차@ 27동 앞,편측,0.54,21:00~익일07:00,21:00~익일07:00,21:00~익일07:00,Y,강남경찰서,02-3673-9364,2022-07-11
서울특별시,강남구,11680,광평로,상록수아파트 106동 앞(광평로10길 15),상록수아파트 211동 앞(광평로10길 15),편측,0.25,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,가람아파트 106동 앞(일원로 127),가람아파트 107동 앞(일원로 127),편측,0.11,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,대왕중학교 앞(광평로20길 7),대왕중학교 앞(광평로20길 7),편측,0.05,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,수서청소년 수련원 앞(광평로 144),수서청소년 수련원 앞(광평로 144),편측,0.07,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,삼성아파트 102동 건너편(광평로 144),삼성아파트 112동 건너편(광평로 144),편측,0.25,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,삼성아파트 112동 앞(광평로31길 27),삼성아파트 102동 앞(광평로31길 27),편측,0.25,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,까치마을아파트 1007동 앞(광평로19길 10),까치마을아파트 1001동 앞(광평로19길 10),편측,0.17,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,샘터마을아파트 109동 앞(일원로 120),샘터마을아파트 106동 앞(일원로 120),편측,0.18,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,하이웨이 앞(광평로 61),하이웨이 앞(광평로 61),편측,0.052,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,일원로,샘터마을 105동 앞(일원로 120),샘터마을 105동 앞(일원로 120),편측,0.036,20:30~익일07:00,16:00~24:00,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,일원로,샘터마을 108동 앞(일원로 120),샘터마을 108동 앞(일원로 120),편측,0.03,20:00~익일07:00,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,양재대로,능인선원 앞(양재대로 340),구룡마을(양재대로 478),편측,1,,,06:00~24:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로,삼성로 221,한티근린공원 앞(삼성로 203),편측,0.3,,,06:00~18:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,영동대로,연금매장R 남측(삼성로 14),일원터널R 북측(삼성로 14),편측,0.168,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,영동대로,일원터널R 북측(영동대로4길 10),연금매장R 남측(삼성로 14),편측,0.18,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,국악고R 남측(논현로7길 3),구룡사삼거리 북측(논현로 7),편측,0.16,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,구룡사삼거리 북측(논현로 6),국악고R 남측(논현로 26),편측,0.16,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,도곡로,래미안하이스턴@ 202동 앞(도곡로93길 12),래미안하이스턴@ 201동 앞(도곡로93길 12),편측,0.13,,,06:00~22:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,도곡로,현대아파트 서측 앞(영동대로57길 28),현대아파트 동측 앞(영동대로57길 28),편측,0.1,,,06:00~22:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,언주로,개포시영아파트 앞 대기차로 시점(개포동 656),(대기차로 종점),편측,0.1,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,언주로,개포현대1차아파트앞 대기차로 시점(개포로 303),(대기차로 종점),편측,0.09,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로 ,도곡경남아파트 102동 앞(논현로 209),도곡한신아파트 4동 앞(논현로 205),양측,0.52,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,대기차로시점(논현로 57),(대기차로 종점),편측,0.06,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,대기차로 시점(논현로 74),(대기차로 종점),편측,0.07,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로,포스코빌딩 동측 대기차로 시점(테헤란로 440),(대기차로 종점),편측,0.07,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로 ,경기여고 정문 앞 대기차로 시점(삼성로 29),(대기차로 종점),편측,0.06,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,영동대로,주공7단지 702동 앞(개포로 516),주공7단지 706동 앞(개포로 516),편측,0.18,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,일원동교회 앞(광평로10길 14-41),한솔공원 앞(일원동 732),편측,0.23,21:00~익일07:30,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,구룡초교 앞(개포로 263),동산교회 부근(개포로 257),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,삼천리자전거 앞(개포로 260),개포시영 북문(개포동 656),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,선릉로,주공2단지 재건축현장 앞(개포동 140),선릉로 52,편측,0.62,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포주공1단지 3동 앞(개포로 310),개포주공1단지 125동 앞(개포로 310),편측,0.62,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,남서울교회 앞(삼성로 40),개포종합상가(개포로 512),편측,0.22,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포근린공원 앞(개포로 509),개포동역 4번 출구 앞(개포로 509),편측,0.22,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,탄천하수처리장 삼거리 부근(개포로 625),대청타워 앞(개포로 623),편측,0.7,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,신동아아파트 상가 부근(광평로47길 17),신동아아파트 708동 앞(광평로47길 17),편측,0.23,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,자곡로,강남푸르지오시티 1차 앞(자곡로 191),강남푸르지오시티 1차 앞(자곡로 191),편측,0.1,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,자곡로,강남푸르지오시티 2차 앞(자곡로 192),강남힐스테이트에코 앞(자곡로 202),편측,0.15,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,"테헤란로,역삼로",테헤란로8길 8,역삼로7길 7,편측,0.44,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,"테헤란로,역삼로",역삼로7길 8,테헤란로8길 13,편측,0.42,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 130,역삼로 172,편측,0.4,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 179,역삼로 133,편측,0.41,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 204,역삼로 246,편측,0.38,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,하나이비인후과 앞(역삼로 245/역삼로 247),역삼로 207,편측,0.34,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 404,역삼로 462,편측,0.62,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 461,역삼로 409,편측,0.58,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 506,역삼로 538,편측,0.25,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 531,역삼로 509,편측,0.14,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,도곡로,도곡로 158,도곡로 190,편측,0.3,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,선릉로,선릉로 310,선릉로 418,편측,0.61,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포로 204,개포로 258,편측,0.49,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,강남동산교회(개포로 257),개포로 209,편측,0.5,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포주공 6단지 602동 앞(개포로 516),개포주공 6단지 702동 앞(개포로 516),편측,0.3,20:00~익일07:30,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로,개포주공 3단지 재건축 현장(삼성로 11),개포주공 3단지 재건축 현장(삼성로 11),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,언주로,언주로 333,언주로 313,편측,0.24,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,헌릉로,다인빌딩(헌릉로659길 33),투레부(헌릉로569길 23),편측,0.08,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,쌍봉빌딩(논현로 46),세영빌딩(논현로 62),편측,0.11,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
