시군구명,연료종류,용도,승용,승합,화물,특수,총등록대수,관리기관명,관리기관전화번호,데이터기준일자
서울특별시 강남구,CNG,비사업용,32,5,36,0,73,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,CNG,사업용,0,195,0,0,195,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,경유,비사업용,49059,3663,12022,214,64958,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,경유,사업용,1594,392,1300,146,3432,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,기타연료,비사업용,12,87,239,37,375,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,기타연료,사업용,0,0,175,0,175,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,수소,비사업용,157,0,0,0,157,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,수소,사업용,2,0,0,0,2,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,엘피지,비사업용,5590,711,896,0,7197,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,엘피지,사업용,3629,74,60,0,3763,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,전기,비사업용,1836,5,90,0,1931,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,전기,사업용,6102,0,39,0,6141,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,하이브리드,비사업용,76,0,0,0,76,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,하이브리드,비사업용,220,0,0,0,220,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,하이브리드,사업용,4,0,0,0,4,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,하이브리드,비사업용,13222,0,0,0,13222,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,하이브리드,사업용,1340,0,0,0,1340,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,비사업용,65484,52,161,4,65701,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,사업용,346,0,0,0,346,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,비사업용,63116,47,103,2,63268,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,사업용,3152,0,0,0,3152,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,비사업용,81,0,0,0,81,서울특별시 강남구청,02-3423-6494,2022.6.28
서울특별시 강남구,휘발유,사업용,1,0,0,0,1,서울특별시 강남구청,02-3423-6494,2022.6.28